non_gendered,gendered,predicted
"Der Ältestenrat traf sich, um wichtige Entscheidungen zu besprechen.","Der Ältestenrat traf sich, um wichtige Entscheidungen zu besprechen.","Der ltestenrat traf sich, um wichtige Entscheidungen zu besprechen."
Die Patientinpopulation des Krankenhauses umfasst Menschen aus verschiedenen Altersgruppen und mit unterschiedlichen Krankheitsbildern.,Die Anzahl der erkrankten Personen des Krankenhauses umfasst Menschen aus verschiedenen Altersgruppen und mit unterschiedlichen Krankheitsbildern.,Die Anzahl der Arztes des Krankenhauses umfasst Menschen aus verschiedenen Altersgruppen und mit unterschiedlichen Krankheitsbildern.
Der Austauschschüler aus Frankreich besuchte für ein Jahr unsere Schule.,Dier Austauschschüler/in aus Frankreich besuchte für ein Jahr unsere Schule.,Die Austauschschülerin aus Frankreich besuchte für ein Jahr unsere Schule.
Die Nutzerin konnte mithilfe der einfach zu nutzenden App schnell und einfach auf eine Vielzahl von Informationen zugreifen und ihre Aufgaben effizient erledigen.,Dier Nutzer/in konnte mithilfe der einfach zu nutzenden App schnell und einfach auf eine Vielzahl von Informationen zugreifen und deren Aufgaben effizient erledigen.,Der Nutzer konnte mithilfe der einfach zu nutzenden App schnell und einfach auf eine Vielzahl von Informationen zugreifen und seine Aufgaben effizient erledigen.
"Der Steinmetz schuf ein kunstvolles Grabmal, das der verstorbenen Person gewidmet war.","Dier Steinmetz:in schuf ein kunstvolles Grabmal, das der verstorbenen Person gewidmet war.","Der Steinmetz schuf ein kunstvolles Grabmal, das der verstorbenen Person gewidmet war."
Die Gästingeberinnen bekochten den Besuch mit landestypischen Speisen.,Die Gäst_ingeber_innen bekochten den Besuch mit landestypischen Speisen.,Die Gäste bekochten den Besuch mit landestypischen Speisen.
Der Schulbegleiter unterstützte das Kind während des Unterrichts und half bei der Integration.,Die Schulbegleitung unterstützte das Kind während des Unterrichts und half bei der Integration.,Die Schulbegleitung unterstützte das Kind während des Unterrichts und half bei der Integration.
Der Rechtshänder schrieb flüssig mit dem Kugelschreiber.,Dier RechtshänderIn schrieb flüssig mit dem Kugelschreiber.,Der Rechtshänder schrieb flüssig mit dem Kugelschreiber.
"Der Theaterpädagoge entwickelte ein kreatives Programm, um Kindern spielerisch das Theater näherzubringen.","Die theaterpädagogische Fachkraft entwickelte ein kreatives Programm, um Kindern spielerisch das Theater näherzubringen.","Die Theaterpädagogin entwickelte ein kreatives Programm, um Kindern spielerisch das Theater näherzubringen."
Der Internist führte eine gründliche Untersuchung des Patienten durch.,Dier Internist*in führte eine gründliche Untersuchung dier Patient*in durch.,Der Internist führte eine gründliche Untersuchung der Patient durch.
Der Klassenkamerad und ich bereiteten gemeinsam das Referat vor.,Dier KlassenkameradIn und ich bereiteten gemeinsam das Referat vor.,Die Klassenkameradin und ich bereiteten gemeinsam das Referat vor.
"Die Entscheidungsträgerin traf sich mit der Projektleitung, um über die zukünftige Strategie zu beraten.","Dier Entscheidungsträger/in traf sich mit der Projektleitung, um über die zukünftige Strategie zu beraten.","Der Entscheidungsträger traf sich mit der Projektleitung, um über die zukünftige Strategie zu beraten."
"Der Lernende nutzte verschiedene Online-Ressourcen, um sich auf die Prüfung vorzubereiten.","Dier lernende Person nutzte verschiedene Online-Ressourcen, um sich auf die Prüfung vorzubereiten.","Der Lerner nutzte verschiedene Online-Ressourcen, um sich auf die Prüfung vorzubereiten."
Das Okapi ist in den Wäldern Zentralafrikas heimisch.,Das Okapi ist in den Wäldern Zentralafrikas heimisch.,Das Okapi ist in den Wäldern Zentralafrikas heimisch.
Die Stammkundinnen bekommen einen Rabatt auf ihre Einkäufe.,Die Stammkund_innen bekommen einen Rabatt auf ihre Einkäufe.,Die Stammkundinnen bekommen einen Rabatt auf ihre Einkäufe.
Der Expertenstandard gewährleistet höchste Qualität in der Pflege.,Der ExpertInnenstandard gewährleistet höchste Qualität in der Pflege.,Der Expertinnenstandard gewährleistet höchste Qualität in der Pflege.
... Liebe Freundinnen und Förderinnen unseres Vereins!,... Liebe Freund*innen und Förder*innen unseres Vereins!,... Liebe Freundinnen und Förderinnen unseres Vereins!
Der Hirte führte seine Schafe auf die Weide.,Die hütende Person führte ihre Schafe auf die Weide.,Die Hütende führte ihre Schafe auf die Weide.
Der Teilnehmer hat während des Kurses große Fortschritte gemacht.,Dier Teilnehmer_in hat während des Kurses große Fortschritte gemacht.,Der Teilnehmer hat während des Kurses große Fortschritte gemacht.
Ich habe heute einen Friseurintermin.,Ich habe heute einen Friseur*intermin.,Ich habe heute einen Friseurtermin.
"Liebe Frau, ich hoffe, dir geht es gut.","Liebe:r Mensch, ich hoffe, dir geht es gut.","Lieber Mensch, ich hoffe, dir geht es gut."
Die Psychologinnen führten eine Studie über menschliches Verhalten durch.,Die Psycholog/innen führten eine Studie über menschliches Verhalten durch.,Die Psychologen führten eine Studie über menschliches Verhalten durch.
Das Land der Dichter und Denker,Das Land der Dichter_innen und Denker_innen,Das Land der Dichterinnen und Denkerinnen
Gegenüber respektiert man die Meinungen und Bedürfnisse anderer.,Gegenüber respektiert man die Meinungen und Bedürfnisse anderer.,Gegenüber respektiert man die Meinungen und Bedürfnisse anderer.
"Der Schlepper half dabei, die schweren Container von der Schiffs- zur Lagerhalle zu transportieren.","Dier Schlepper_in half dabei, die schweren Container von der Schiffs- zur Lagerhalle zu transportieren.","Die Schlepperin half dabei, die schweren Container von der Schiffs- zur Lagerhalle zu transportieren."
Die Besitzerin des Lastenrads erstattete Anzeige gegen unbekannt.,Dier BesitzerIn des Lastenrads erstattete Anzeige gegen unbekannt.,Der Besitzer des Lastenrads erstattete Anzeige gegen unbekannt.
Der KfZ-Mechaniker reparierte mein Auto schnell und zu einem fairen Preis.,Dier KfZ-MechanikerIn reparierte mein Auto schnell und zu einem fairen Preis.,Die KfZ-Mechanikerin reparierte mein Auto schnell und zu einem fairen Preis.
Der Lektor überarbeitete das Manuskript.,Dier Lektor*in überarbeitete das Manuskript.,Die Lektorin überarbeitete das Manuskript.
Die Gästingeberinnen bekochten den Besuch mit landestypischen Speisen.,Die Gäst:ingeber:innen bekochten den Besuch mit landestypischen Speisen.,Die Gästingeberinnen bekochten den Besuch mit landestypischen Speisen.
Der Bürgerinrat diskutierte über die neuen Bauprojekte in der Stadt.,Der Bevölkerungsrat diskutierte über die neuen Bauprojekte in der Stadt.,Der Bevölkerungsrat diskutierte über die neuen Bauprojekte in der Stadt.
Der Ratgeber gibt hilfreiche Tipps zur Karriereplanung.,Dier Ratgeber*in gibt hilfreiche Tipps zur Karriereplanung.,Die Ratgeberin gibt hilfreiche Tipps zur Karriereplanung.
Die Rollstuhlfahrerin nutzte den Aufzug.,Dier RollstuhlfahrerIn nutzte den Aufzug.,Der Rollstuhlfahrer nutzte den Aufzug.
Im Bürgerbüro können Anwohner ihre Anliegen vorbringen.,Im Bürger*inbüro können Anwohner*innen ihre Anliegen vorbringen.,Im Bürgerbüro können Anwohnerinnen ihre Anliegen vorbringen.
Die Chorleiterinnen dirigierten die Sängerinnen mit großer Leidenschaft.,Der Chorleitenden dirigierten die Singenden mit großer Leidenschaft.,Die Chorleiterin dirigierten die Singen mit großer Leidenschaft.
Die Lastkraftwagenfahrerin lieferte die Waren pünktlich an die verschiedenen Supermärkte.,Die Lastkraftwagen fahrende Person lieferte die Waren pünktlich an die verschiedenen Supermärkte.,Die Lastkraftwagenfahrerin lieferte die Waren pünktlich an die verschiedenen Supermärkte.
Die Vizepräsidentin vertrat das Unternehmen auf der internationalen Konferenz und hielt eine beeindruckende Rede.,Dier Vizepräsident*in vertrat das Unternehmen auf der internationalen Konferenz und hielt eine beeindruckende Rede.,Der Vizepräsident vertrat das Unternehmen auf der internationalen Konferenz und hielt eine beeindruckende Rede.
"Die Terroristen planten einen Anschlag auf das Regierungsgebäude, wurden aber rechtzeitig gestoppt.","Die Terrorist/innen planten einen Anschlag auf das Regierungsgebäude, wurden aber rechtzeitig gestoppt.","Die Terroristinnen planten einen Anschlag auf das Regierungsgebäude, wurden aber rechtzeitig gestoppt."
Die Genossin hielt eine inspirierende Rede auf dem Parteitag.,Dier Genoss*in hielt eine inspirierende Rede auf dem Parteitag.,Der Genoss hielt eine inspirierende Rede auf dem Parteitag.
Der Arbeiter schuftete den ganzen Tag auf der Baustelle.,Die Arbeitskraft schuftete den ganzen Tag auf der Baustelle.,Die Arbeitskraft schuftete den ganzen Tag auf der Baustelle.
Mo war ein bekannter Verkehrssünder und hat mehrere Punkte in Flensburg. ,Mo war eine bekannte Verkehrsregeln missachtende Person und hat mehrere Punkte in Flensburg. ,Mo war eine bekannte Verkehrsregelnmissachtende und hat mehrere Punkte in Flensburg.
Der Influencer teilte täglich Tipps zu nachhaltigem Leben auf seinen Social-Media-Kanälen.,Dier Influencer:in teilte täglich Tipps zu nachhaltigem Leben auf deren Social-Media-Kanälen.,Die Influencerin teilte täglich Tipps zu nachhaltigem Leben auf ihren Social-Media-Kanälen.
Der Fußballer zog sich eine schwere Verletzung an seinem Kreuzband zu. Er fällt die ganze restliche Saison aus. ,Dier FußballerIn zog sich eine schwere Verletzung an deren Kreuzband zu. Dey fällt die ganze restliche Saison aus. ,Der Fußballer zog sich eine schwere Verletzung an seinem Kreuzband zu. Er fällt die ganze restliche Saison aus.
Der Spezialist wurde bei komplexen Problemen hinzugezogen.,Dier Spezialist*in wurde bei komplexen Problemen hinzugezogen.,Der Spezialist wurde bei komplexen Problemen hinzugezogen.
Die Gutachterin schätzte den Wert des Hauses.,Dier Gutachter:in schätzte den Wert des Hauses.,Der Gutachter schätzte den Wert des Hauses.
"Die Lizenznehmerin erhielt die Erlaubnis, das patentierte Produkt zu produzieren.","Die lizenznehmende Person erhielt die Erlaubnis, das patentierte Produkt zu produzieren.","Die Lizenzinnenfrau erhielt die Erlaubnis, das patentierte Produkt zu produzieren."
Der Erblasser hinterließ ein bedeutendes Vermögen.,Dier ErblasserIn hinterließ ein bedeutendes Vermögen.,Der Erblasser hinterließ ein bedeutendes Vermögen.
Die hohe Mitarbeiterinmobilität in der Branche stellt eine Herausforderung für das Personalmanagement dar.,Die hohe Mitarbeitendenmobilität in der Branche stellt eine Herausforderung für das Personalmanagement dar.,Die hohe Mitarbeitermobilität in der Branche stellt eine Herausforderung für das Personalmanagement dar.
Die Besuchergruppe machte eine Führung durch das Museum.,Die Besucher:ingruppe machte eine Führung durch das Museum.,Die Besuchergruppe machte eine Führung durch das Museum.
Er fühlt sich durch die Diskussion persönlich angesprochen.,Dey fühlt sich durch die Diskussion persönlich angesprochen.,Sie fühlt sich durch die Diskussion persönlich angesprochen.
Einen Künstler seinesgleichen findet man nur selten.,Eine_n Künstler_in von gleicher Art findet man nur selten.,Eine Künstlerin von gleicher Art findet man nur selten.
"Die Diplom-Ingenieurin hat eine Brücke entworfen, die als Meisterwerk gilt.","Dier Diplom-Ingenieur:in hat eine Brücke entworfen, die als Meisterwerk gilt.","Die Diplom-Ingenieurin hat eine Brücke entworfen, die als Meisterwerk gilt."
Der Sammler hortete alte Münzen und antike Briefmarken.,Dier Sammler/in hortete alte Münzen und antike Briefmarken.,Der Sammler hortete alte Münzen und antike Briefmarken.
Der Ehrenmann wurde für seine Verdienste ausgezeichnet.,Die Ehrenfrau wurde für ihre Verdienste ausgezeichnet.,Die Ehrenfrau wurde für ihre Verdienste ausgezeichnet.
Der Versender hat das Paket gestern abgeschickt.,Dier VersenderIn hat das Paket gestern abgeschickt.,Die Versenderin hat das Paket gestern abgeschickt.
Der Säugling schlief friedlich in seinem Bettchen.,Der Säugling schlief friedlich in seinem Bettchen.,Der Säugling schlief friedlich in seinem Bettchen.
Der Suprematist war ein Verfechter des suprematischen Stils.,Dier SuprematistIn war einE VerfechterIn des suprematischen Stils.,Die Suprematistin war ein Verfechterin des suprematischen Stils.
Der Fahrzeughalter war für die Wartung seines Autos verantwortlich.,Der Fahrzeughalter war für die Wartung seines Autos verantwortlich.,Der Fahrzeughalter war für die Wartung seines Autos verantwortlich.
Der Personaler führt das Bewerbungsgespräch.,Dier Personaler_in führt das Bewerbungsgespräch.,Die Personalerin führt das Bewerbungsgespräch.
... Radfahrerinnen müssen absteigen.,... Radfahrer_innen müssen absteigen.,... Radfahrer müssen absteigen.
"Der Urheber des Gemäldes bleibt oft anonym, aber seine Kunst spricht für sich selbst.","Dier Urheber:in des Gemäldes bleibt oft anonym, aber deren Kunst spricht für sich selbst.","Der Urheber des Gemäldes bleibt oft anonym, aber seine Kunst spricht für sich selbst."
Die Angestellten freuten sich über den Mitarbeiterinrabatt im Firmenladen.,Die Angestellten freuten sich über den Mitarbeiter/inrabatt im Firmenladen.,Die Angestellten freuten sich über den Mitarbeiterrabatt im Firmenladen.
Der neue Kollege stellte sich als Namensvetter heraus.,Dier neue Kolleg*in stellte sich als Namensvetter*in heraus.,Der neue Kolleg stellte sich als Namensvetter heraus.
Die Fachwirtin optimierte die Prozesse im Unternehmen.,Dier Fachwirt_in optimierte die Prozesse im Unternehmen.,Die Fachwirtin optimierte die Prozesse im Unternehmen.
Die Dezernentin leitete das Bauamt der Stadt.,Dier DezernentIn leitete das Bauamt der Stadt.,Der Dezernent leitete das Bauamt der Stadt.
Die Partei richtet ihre Kampagne vor allem an ihre treue Kernwählerschaft.,Die Partei richtet ihre Kampagne vor allem an ihre treue Kernwähler:inschaft.,Die Partei richtet ihre Kampagne vor allem an ihre treue Kernwählerinschaft.
Der Betriebsarzt führte die jährlichen Gesundheitschecks der Mitarbeiter durch.,Dier BetriebsärztIn führte die jährlichen Gesundheitschecks der MitarbeiterInnen durch.,Die Betriebsärztin führte die jährlichen Gesundheitschecks der Mitarbeiterinnen durch.
"Als Callcenteroperator ist es seine Aufgabe, die Anliegen der Anrufer professionell zu bearbeiten.
","Als Callcenteroperator ist es deren Aufgabe, die Anliegen der Anrufer*innen professionell zu bearbeiten.
","Als Callcenteroperator ist es ihre Aufgabe, die Anliegen der Anrufer professionell zu bearbeiten."
Die Casemangerin ist eine geschulte Fachkraft und findet eine effiziente Lösung,Die Casemangerin ist eine geschulte Fachkraft und findet e_ine effiziente Lösung,Die Casemangerin ist eine geschulte Fachkraft und findet e_e effiziente Lösung.
Der Sachverständige überprüfte den Schaden am Auto.,Dier Sachverständige überprüfte den Schaden am Auto.,Die Sachverständige überprüfte den Schaden am Auto.
Als echter Teamplayer unterstützt er seine Kollegen stets und trägt maßgeblich zum gemeinsamen Erfolg bei.,Als echte:r Teamplayer:in unterstützt dey deren Kolleg:innen stets und trägt maßgeblich zum gemeinsamen Erfolg bei.,Als echte Teamplayerin unterstützt sie ihre Kolleginnen stets und trägt maßgeblich zum gemeinsamen Erfolg bei.
Die freiwilligen Mitarbeiterinnen eines Projektes halfen bei der Umsetzung.,Die freiwilligen Mitarbeiter:innen eines Projektes halfen bei der Umsetzung.,Die freiwilligen Mitarbeiterinnen eines Projektes halfen bei der Umsetzung.
Der Bedienstete des Hotels brachte das Gepäck auf das Zimmer.,Dier Bedienstete des Hotels brachte das Gepäck auf das Zimmer.,Die Bedienstete des Hotels brachte das Gepäck auf das Zimmer.
