gendered,non_gendered
Die Zimmereiarbeiten umfassten den Bau der Holzstruktur für das neue Haus.,Die Zimmerinarbeiten umfassten den Bau der Holzstruktur für das neue Haus.
... Löst die Aufgabe zu zweit. ,... Löst die Aufgabe in Partnerarbeit!
Im Bürger_inbüro können Anwohner_innen ihre Anliegen vorbringen.,Im Bürgerinbüro können Anwohnerinnen ihre Anliegen vorbringen.
Dier Grafiker:in erstellte beeindruckende Illustrationen für das Magazin.,Der Grafiker erstellte beeindruckende Illustrationen für das Magazin.
Die BetriebsrätInnen stimmten über die neuen Arbeitsbedingungen ab.,Die Betriebsräte stimmten über die neuen Arbeitsbedingungen ab.
Nach dem Studium wurde dey Assessor_in im öffentlichen Dienst.,Nach dem Studium wurde sie Assessorin im öffentlichen Dienst.
Dier Auszubildende absolvierte deren erstes Praktikum in der Marketingabteilung und lernte dabei viel über Kund:inkommunikation.,Der Auszubildende absolvierte sein erstes Praktikum in der Marketingabteilung und lernte dabei viel über Kundenkommunikation.
Die FinanzintermediärInnen spielen eine wichtige Rolle bei der Kapitalvermittlung.,Die Finanzintermediäre spielen eine wichtige Rolle bei der Kapitalvermittlung.
Dier Selbstmörder_in hinterließ einen Abschiedsbrief.,Die Selbstmörderin hinterließ einen Abschiedsbrief.
... Jedes Kita-Kind kann zum Adventsfrühstück seine Geschwister mitbringen.,... Jedes Kita-Kind kann zum Adventsfrühstück seine Brüder und/oder Schwestern mitbringen.
Der Workshop und die Anmeldung war sehr teilnehmendenorientiert.,Der Workshop und die Anmeldung war sehr teilnehmerinorientiert.
Jede:r Einzelne ist für den Erfolg des Teams wichtig.,Jeder Einzelne ist für den Erfolg des Teams wichtig.
Ein kauftechnischer Beruf erfordert oft gute mathematische Kenntnisse.,Ein kauffrauischer Beruf erfordert oft gute mathematische Kenntnisse.
"... Ich suche jemanden, dier gut Englisch spricht.","... Ich suche jemanden, der gut Englisch spricht."
"Die Datenschutzbeauftragte sorgte dafür, dass alle sensiblen Daten sicher und geschützt blieben.","Die Datenschutzbeauftragte sorgte dafür, dass alle sensiblen Daten sicher und geschützt blieben."
"Die Bauherr*innen trafen sich, um den Bauplan zu besprechen.","Die Bauherren trafen sich, um den Bauplan zu besprechen."
... Welche Voraussetzungen erfüllen Sie für die Tätigkeit als fahrzeugführende Person eines Absetzkippers?,... Welche Voraussetzungen erfüllen Sie für die Tätigkeit als Kraftfahrerin eines Absetzkippers?
Dier Influencer/in teilte täglich Tipps zu nachhaltigem Leben auf deren Social-Media-Kanälen.,Die Influencerin teilte täglich Tipps zu nachhaltigem Leben auf ihren Social-Media-Kanälen.
Die Software bietet viele benutzer_indefinierte Einstellungen.,Die Software bietet viele benutzerdefinierte Einstellungen.
"Das ist ein Aspekt, der für deren spätere Arbeitgeber_innen interessant ist.","Das ist ein Aspekt, der für seine späteren Arbeitgeber interessant ist."
Dier ProtokollführerIn dokumentierte alle wichtigen Punkte der Besprechung in detaillierten Notizen.,Die Protokollführerin dokumentierte alle wichtigen Punkte der Besprechung in detaillierten Notizen.
Dier Erzähler_in hielt die Kinder mit spannenden Geschichten in Atem.,Die Erzählerin hielt die Kinder mit spannenden Geschichten in Atem.
Die PendlerInpauschale hilft bei den Fahrtkosten zur Arbeit.,Die Pendlerinpauschale hilft bei den Fahrtkosten zur Arbeit.
"Die Verkaufsperson präsentierte die Vorzüge des Autos und bot der kaufinteressierten Person eine Probefahrt an, um sie zu überzeugen.","Die Verkäuferin präsentierte die Vorzüge des Autos und bot der Kundin eine Probefahrt an, um sie zu überzeugen."
Tauscht euch mit eurer Partnerperson über den Text aus.,Tauscht euch mit eurem Partner über den Text aus.
treue Kundschaft  feste Kundschaft  Kundschaftsstamm  Klientelstamm,Unser treuer Kundinstamm bildet das Fundament unseres langjährigen Erfolgs.
Dier ÜberbringerIn der Nachricht wartete geduldig auf eine Antwort.,Der Überbringer der Nachricht wartete geduldig auf eine Antwort.
Die Interviewte waren Personen mit Expertise auf dem Gebiet der erneuerbaren Energien.,Die Interviewpartnerinnen waren Expertinnen auf dem Gebiet der erneuerbaren Energien.
Die Geschäftspartner*innen unterschrieben den Vertrag.,Die Geschäftspartner unterschrieben den Vertrag.
Die verwitwete Person besuchte das Grab auf dem Friedhof jeden Sonntag.,Die Witwe besuchte das Grab auf dem Friedhof jeden Sonntag.
Die Angestellten freuten sich über den MitarbeiterInrabatt im Firmenladen.,Die Angestellten freuten sich über den Mitarbeiterrabatt im Firmenladen.
"Es herrscht eine Notsituation, wir brauchen dringend Verstärkung.","Es herrscht Not am Mann, wir brauchen dringend Verstärkung."
"Dier Kontrahent*in im Schachturnier gab nach einem intensiven Spiel schließlich auf.
","Die Kontrahentin im Schachturnier gab nach einem intensiven Spiel schließlich auf.
"
Dier HostIn begrüßte die GästInnen der Fernsehshow.,Die Hostin begrüßte die Gästinnen der Fernsehshow.
Mein:e Freund:in und ich treffen uns jeden Freitag zum Abendessen.,Meine Freundin und ich treffen uns jeden Freitag zum Abendessen.
Die Musiker:innen suchten eine Gelegenheit wieder live zu spielen. ,Die Musikerinnen suchten eine Gelegenheit wieder live zu spielen. 
Dier Sieger*in des Rennens erhielt eine Trophäe.,Der Sieger des Rennens erhielt eine Trophäe.
Dier Teamkapitän/in gab in der Halbzeitpause eine motivierende Rede.,Der Mannschaftskapitän gab in der Halbzeitpause eine motivierende Rede.
Die Sprecher:innen der Fraktion beraten vor der Sitzung.,Die Sprecher der Fraktion beraten vor der Sitzung.
Die Empfangsperson begrüßte die Gäst*innen herzlich.,Der Empfangsherr begrüßte die Gäste herzlich.
Die ferngesteuerte Drohne lieferte die Pakete autonom und effizient an die vorgesehenen Adressen.,Die unbemannte Drohne lieferte die Pakete autonom und effizient an die vorgesehenen Adressen.
Dier Unternehmer/in gründete deren erstes Start-up im Alter von nur 25 Jahren.,Die Unternehmerin gründete ihr erstes Start-up im Alter von nur 25 Jahren.
"Dier Kranke wurde von deren Ärzt:in gründlich untersucht und erhielt eine angemessene Behandlung, um deren Genesung zu unterstützen.","Der Kranke wurde von seinem Arzt gründlich untersucht und erhielt eine angemessene Behandlung, um seine Genesung zu unterstützen."
Dier Coach*in motivierte das Team vor dem wichtigen Spiel.,Der Coach motivierte das Team vor dem wichtigen Spiel.
Die schwimmende Person gewann die Goldmedaille im Wettkampf.,Die Schwimmerin gewann die Goldmedaille im Wettkampf.
"Die Teamleitung musste stets alles unter Kontrolle haben, um alle Herausforderungen effektiv zu meistern.","Die Teamleiterin musste stets „Herrin der Lage sein“, um alle Herausforderungen effektiv zu meistern."
Im BürgerInbüro können Anwohner Innen ihre Anliegen vorbringen.,Im Bürgerinbüro können Anwohnerinnen ihre Anliegen vorbringen.
Die Streitkräfte marschierten diszipliniert in Formation.,Die Soldatinnen marschierten diszipliniert in Formation.
Das Benutzer*inportal ermöglicht den einfachen Zugriff auf alle Funktionen.,Das Benutzerinportal ermöglicht den einfachen Zugriff auf alle Funktionen.
Dier Verteidiger/in plädierte im Gericht auf unschuldig.,Die Verteidigerin plädierte im Gericht auf unschuldig.
Viele Unternehmen beschäftigen Mitarbeiter*innen in Teilzeit.,Viele Unternehmen beschäftigen Mitarbeiter in Teilzeit.
Dier Kommentator*in analysierte das Spiel mit Fachkenntnis.,Der Kommentator analysierte das Spiel mit Fachkenntnis.
"Unser Unternehmen verfolgt eine strikt kund/inorientierte Strategie, um die Zufriedenheit zu maximieren.","Unser Unternehmen verfolgt eine strikt kundinorientierte Strategie, um die Zufriedenheit zu maximieren."
... Wer ist dein/e Favorit/in bei den Olympischen Spielen?,... Wer ist dein Favorit bei den Olympischen Spielen?
Die Doktorand_innen präsentierten ihre Forschungsergebnisse auf der Konferenz.,Die Doktoranden präsentierten ihre Forschungsergebnisse auf der Konferenz.
Die Hinterbliebenen trafen sich regelmäßig zum Gedenken. ,Die Hinterbliebenen trafen sich regelmäßig zum Gedenken. 
Dier Vorsitzende eröffnete die Sitzung und begrüßte die Anwesenden.,Der Vorsitzende eröffnete die Sitzung und begrüßte die Anwesenden.
Die*der Kämmer*in präsentierte einen neuen Haushaltsplan.,Die Kämmerin präsentierte einen neuen Haushaltsplan.
Ich bin dier AbteilungsleiterIn.,Ich bin die Abteilungsleiterin.
Die Person in Haft verbüßte die Strafe im Gefängnis.,Der Sträfling verbüßte die Strafe im Gefängnis.
Dier AmateurIn steht vor einer neuen Herausforderung.,Die Amateurin steht vor einer neuen Herausforderung.
Dier Noviz_in lernte schnell die Regeln des Klosters.,Die Novizin lernte schnell die Regeln des Klosters.
Heute bei meinem Termin war dier Bürokrat_in überraschend hilfreich und flexibel. Normalerweise habe ich keine guten Erfahrungen bei meinen Terminen dort.,Heute bei meinem Termin war der Bürokrat überraschend hilfreich und flexibel. Normalerweise habe ich keine guten Erfahrungen bei meinen Terminen dort.
"Eine Person, die fleißig arbeitet, wird belohnt.","Jefrau, die fleißig arbeitet, wird belohnt."
Die Wächter_innen des Museums sorgen für die Sicherheit der Exponate.,Die Wächter des Museums sorgen für die Sicherheit der Exponate.
Dier Kleinunternehmer:in erweiterte dem Geschäft trotz wirtschaftlicher Herausforderungen und stellte zwei neue Mitarbeitende ein.,Die Kleinunternehmerin erweiterte ihr Geschäft trotz wirtschaftlicher Herausforderungen und stellte zwei neue Mitarbeitende ein.
"Die Polizei nahm dier VerbrecherIn fest, dier für eine Reihe von Einbrüchen in der Nachbarschaft verantwortlich war.","Die Polizei nahm den Verbrecher fest, der für eine Reihe von Einbrüchen in der Nachbarschaft verantwortlich war."
Der Regierungsrat beriet sich über die neuen Gesetzesvorschläge im Ministerium.,Der Regierungsrat beriet sich über die neuen Gesetzesvorschläge im Ministerium.
"Die Konkurrenz war stark, aber dey gab nicht auf.","Der Gegner war stark, aber er gab nicht auf."
Dier Klient*in besprach deren Anliegen vertrauensvoll mit deren Berater*in und arbeitete gemeinsam an Lösungen für deren individuellen Bedürfnisse.,Die Klientin besprach ihre Anliegen vertrauensvoll mit ihrer Beraterin und arbeitete gemeinsam an Lösungen für ihre individuellen Bedürfnisse.
Das Expert/innenrating bescheinigte dem Unternehmen hohe Qualität.,Das Expertenrating bescheinigte dem Unternehmen hohe Qualität.
... Alle suchen sich ihren eigenen Platz.,... Jede Einzelne sucht sich einen Platz.
... Achtung! Auf der A7 befindet sich ein*e Geisterfahrer*in im Bereich XY.,... Achtung! Auf der A7 befindet sich ein Geisterfahrer im Bereich XY.
Die Modeschöpfer*innen präsentierten ihre neue Kollektion auf der Fashion Week.,Die Modeschöpferinnen präsentierten ihre neue Kollektion auf der Fashion Week.
Auf dem Parkplatz stand ein verlassenes Fahrrad.,Auf dem Parkplatz stand ein verlassenes Fahrrad.
Dier Lehrstuhlleiter:in organisierte eine internationale Konferenz an der Universität.,Der Lehrstuhlleiter organisierte eine internationale Konferenz an der Universität.
"Dier Kümmer:in sorgte dafür, dass alle Bewohner:innen des Altenheims die notwendige Pflege erhielten.","Der Kümmerer sorgte dafür, dass alle Bewohner des Altenheims die notwendige Pflege erhielten."
Jede:r Einzelne ist für den Erfolg des Teams wichtig.,Jede Einzelne ist für den Erfolg des Teams wichtig.
"Dier Nachfolgerin wurde sorgfältig ausgewählt, um die Kontinuität in der Führung des Unternehmens zu gewährleisten und neue Impulse zu setzen.","Die Nachfolgerin wurde sorgfältig ausgewählt, um die Kontinuität in der Führung des Unternehmens zu gewährleisten und neue Impulse zu setzen."
Dier BetriebsärztIn führte die jährlichen Gesundheitschecks der MitarbeiterInnen durch.,Die Betriebsärztin führte die jährlichen Gesundheitschecks der Mitarbeiterinnen durch.
Die Ehrenfrau wurde für ihre Verdienste ausgezeichnet.,Die Ehrenfrau wurde für ihre Verdienste ausgezeichnet.
"Das Recht auf Urheberschaft schützt die geistigen Eigentumsrechte von Literaturschaffenden, Kunstschaffenden und erfindenden Personen.","Das Urheberinnenrecht schützt die geistigen Eigentumsrechte von Autorinnen, Künstlerinnen und Erfinderinnen."
Die Übungsleitung motivierte ihr Team vor dem wichtigen Spiel mit einer inspirierenden Rede.,Der Trainer motivierte sein Team vor dem wichtigen Spiel mit einer inspirierenden Rede.
Dier Internist:in führte eine gründliche Untersuchung dier Patient:in durch.,Der Internist führte eine gründliche Untersuchung des Patienten durch.
Die Person an der Rezeption war sehr freundlich.,Die Person an der Rezeption war sehr freundlich.
Der Dachkonzern ist weltweit tätig.,Der Mutterkonzern ist weltweit tätig.
In der Fußgänger_inzone gibt es viele Geschäfte und Cafés.,In der Fußgängerzone gibt es viele Geschäfte und Cafés.
"Die Teampartner_innen arbeiteten eng zusammen, um innovative Lösungen für die Herausforderungen des Projekts zu entwickeln.","Die Teampartner arbeiteten eng zusammen, um innovative Lösungen für die Herausforderungen des Projekts zu entwickeln."
Alle Gesprächsteilnehmer_innen brachten interessante Ideen ein.,Alle Gesprächsteilnehmer brachten interessante Ideen ein.
"Dier Anlieger/in freute sich über neue Baugenehmigungen, damit das Viertel wachsen kann.","Der Anlieger freute sich über neue Baugenehmigungen, damit das Viertel wachsen kann.
"
Die Administration verwaltet die BenutzerInrechte im System.,Die Administration verwaltet die Benutzerinrechte im System.
Dier talentierte Komponist:in erhielt einen Preis für ihr neuestes Orchesterwerk.,Die talentierte Komponistin erhielt einen Preis für ihr neuestes Orchesterwerk.
Die SportlerInnen trainieren täglich für die Olympischen Spiele.,Die Sportler trainieren täglich für die Olympischen Spiele.
Dier Nutzer*in konnte mithilfe der einfach zu nutzenden App schnell und einfach auf eine Vielzahl von Informationen zugreifen und deren Aufgaben effizient erledigen.,Der Nutzer konnte mithilfe der einfach zu nutzenden App schnell und einfach auf eine Vielzahl von Informationen zugreifen und seine Aufgaben effizient erledigen.
Die ReferentInnen hielten informative Vorträge.,Die Referentinnen hielten informative Vorträge.
Dier Sieger/in des Rennens erhielt eine Trophäe.,Die Siegerin des Rennens erhielt eine Trophäe.
Deren Dozent/intätigkeit umfasst Vorlesungen und Seminare.,Ihre Dozentintätigkeit umfasst Vorlesungen und Seminare.
Dier Erfüllungsgehilf*in führte den Auftrag gewissenhaft aus.,Die Erfüllungsgehilfin führte den Auftrag gewissenhaft aus.
"Die Vertragsparteien unterzeichneten die Vereinbarung, die die Bedingungen ihrer Zusammenarbeit festlegte.","Die Vertragspartner unterzeichneten die Vereinbarung, die die Bedingungen ihrer Zusammenarbeit festlegte."
Mir fällt die ÄrztInwahl immer sehr schwer.,Mir fällt die Arztwahl immer sehr schwer.
"Dey bewarb sich auf eine Werkstudent_innenstelle im Bereich Softwareentwicklung, um deren Programmierkenntnisse zu vertiefen.","Sie bewarb sich auf eine Werkstudentinnenstelle im Bereich Softwareentwicklung, um ihre Programmierkenntnisse zu vertiefen."
Viele Mitbürger:innen engagieren sich in ehrenamtlichen Projekten.,Viele Mitbürgerinnen engagieren sich in ehrenamtlichen Projekten.
Die Seefahrer_innen entdeckten neue Länder.,Die Seefahrerinnen entdeckten neue Länder.
"Rund ums Kottbusser Tor gibt es viele AlkoholikerInnen besonders am Dienstag Abend, dort gibt es einen Treffpunkt für sie.","Rund ums Kottbusser Tor gibt es viele Alkoholiker besonders am Dienstag Abend, dort gibt es einen Treffpunkt für sie."
